Date,Close/Last,Open,High,Low,VIX_Close,SPY_Return,VIX_Return
2020-05-19,2922.94,2948.59,2964.21,2922.35,30.53,-0.010484408800538914,0.041979522184300455
2020-05-20,2971.61,2953.63,2980.29,2953.63,27.99,0.01665104312780974,-0.08319685555191625
2020-05-21,2948.51,2969.95,2978.5,2938.57,29.53,-0.007773563825670182,0.055019649874955334
2020-05-22,2955.45,2948.05,2956.76,2933.59,28.16,0.002353731206609311,-0.04639349813748739
2020-05-26,2991.77,3004.08,3021.72,2988.17,28.01,0.012289160703107926,-0.005326704545454475
2020-05-27,3036.13,3015.65,3036.25,2969.75,27.62,0.014827343010993532,-0.0139235987147448
2020-05-28,3029.73,3046.61,3068.67,3023.4,28.59,-0.0021079466294262605,0.03511947863866749
2020-05-29,3044.31,3025.17,3049.17,2998.61,27.51,0.004812310007822562,-0.03777544596012583
2020-06-01,3055.73,3038.78,3062.18,3031.54,28.23,0.0037512605483673855,0.026172300981461172
2020-06-02,3080.82,3064.78,3081.07,3051.64,26.84,0.00821080396500995,-0.04923839886645409
2020-06-03,3122.87,3098.9,3130.94,3098.9,25.66,0.013648963587616247,-0.04396423248882264
2020-06-04,3112.35,3111.56,3128.91,3090.41,25.81,-0.0033686961032639573,0.005845674201091056
2020-06-05,3193.93,3163.84,3211.72,3163.84,24.52,0.02621170498176606,-0.049980627663696264
2020-06-08,3232.39,3199.92,3233.13,3196.0,25.81,0.012041591393674889,0.05261011419249595
2020-06-09,3207.18,3213.32,3222.71,3193.11,27.57,-0.007799182648133396,0.06819062378922913
2020-06-10,3190.14,3213.42,3223.27,3181.49,27.57,-0.0053130787794885,0.0
2020-06-11,3002.1,3123.53,3123.53,2999.49,40.79,-0.058944121574601716,0.4795067101922379
2020-06-12,3041.31,3071.04,3088.42,2984.47,36.09,0.013060857399820103,-0.11522431968619751
2020-06-15,3066.59,2993.76,3079.76,2965.66,34.4,0.008312207568449193,-0.04682737600443354
2020-06-16,3124.74,3131.0,3153.45,3076.06,33.67,0.018962430582503575,-0.021220930232558
